scenario,year,population,age_0_14,age_15_64,age_65_plus,old_age_dependency,total_dependency,share_65_plus,median_age,births,net_international_migration
NIM 574 mil; fecundidade Census,2083,343462704.19641477,45691337.760255866,196013847.6183118,101757518.81784709,51.913433695763445,75.22369382046054,29.626948595750697,48.474853987220065,2860376.773979149,574000.0
NIM 574 mil; fecundidade Census,2084,342659837.8935804,45458970.46511147,195336407.2578502,101864460.17061868,52.14822039608541,75.42036464367781,29.727574960872612,48.56368849797401,2847912.8372355765,574000.0
NIM 574 mil; fecundidade Census,2085,341832301.38036615,45230427.22139459,194685326.58647063,101916547.57250085,52.34937288775794,75.58195441531608,29.814779691956474,48.64889607381009,2836022.5811847188,574000.0
NIM 574 mil; fecundidade Census,2086,340982311.63567334,45006831.32193255,194122389.39099643,101853090.92274436,52.468492296163966,75.65326323532695,29.87049106276531,48.73022686041634,2824662.797473854,574000.0
NIM 574 mil; fecundidade Census,2087,340112011.7162862,44789072.179277085,193461318.10558453,101861621.43142451,52.652190333900215,75.80362578252708,29.949433693154948,48.807471061059736,2813765.9497848875,574000.0
NIM 574 mil; fecundidade Census,2088,339223058.1983763,44577806.63954129,192815913.80084708,101829337.75798798,52.81168745395362,75.93104817517717,30.018400959771604,48.880398768439015,2803262.1232543415,574000.0
NIM 574 mil; fecundidade Census,2089,338317073.81086373,44373446.42882178,192219686.17844003,101723941.20360193,52.920667610064804,76.00542407336968,30.06763449972103,48.948758247827534,2793068.614416479,574000.0
NIM 574 mil; fecundidade Census,2090,337395370.9557137,44176189.28395778,191617268.42640224,101601913.2453537,53.02335957491102,76.07774796419406,30.113606169982074,49.01228668624555,2783105.990722131,574000.0
NIM 574 mil; fecundidade Census,2091,336459792.0227539,43985997.014100805,190903663.34116137,101570131.66749161,53.20491492401431,76.24585413087176,30.187895872153035,49.07078417320595,2773284.0105584953,574000.0
NIM 574 mil; fecundidade Census,2092,335512452.6304237,43802614.880116165,190177235.95505178,101532601.79525584,53.388409651328075,76.42093226642639,30.261947358209326,49.12458262824189,2763513.9871019046,574000.0
NIM 574 mil; fecundidade Census,2093,334555376.9883659,43625602.19463285,189439218.9015486,101490555.8921845,53.57420521509279,76.60301754212475,30.335951197614083,49.173865469997985,2753712.5712812273,574000.0
NIM 574 mil; fecundidade Census,2094,333590691.63934803,43454360.71456395,188691118.65656683,101445212.2682173,53.76257928326549,76.7919412500332,30.410084816722605,49.21897995036555,2743811.584312101,574000.0
NIM 574 mil; fecundidade Census,2095,332620043.8754741,43288114.00278192,187934149.1210239,101397780.75166827,53.95388822409874,76.98754879363456,30.48456718670552,49.26036449052417,2733742.605855323,574000.0
NIM 574 mil; fecundidade Census,2096,331645038.2313107,43126068.01727618,187170199.87504405,101348770.33899046,54.147920131864744,77.18901751065016,30.55941101350151,49.29845569483041,2723452.1161407195,574000.0
